score,cdf_pred,cdf_real,metakey,metaval
,,,n,40
,,,N,284
,,,log_samples,15
,,,gh_factor,0.7
,,,cores,4
,,,walltime,2.8403145350002887
,,,cputime,0.29658193099999997
,,,real_avg,31.102270533408554
,,,real_med,29.42617039040595
,,,real_var,402.83293392227336
,,,pred_avg,30.966455521021825
,,,pred_med,30.966455521021825
,,,pred_var,138.60233661702665
-29.341,0.0,0.0,,
-18.886,0.0,0.001,,
-15.942,0.0,0.002,,
-14.654,0.0,0.003,,
-13.515,0.0,0.004,,
-12.408,0.0,0.005,,
-11.274,0.0,0.006,,
-10.545,0.0,0.007,,
-9.974,0.0,0.008,,
-9.4,0.0,0.009,,
-8.885,0.0,0.01,,
-8.358,0.0,0.011,,
-7.887,0.0,0.012,,
-7.462,0.001,0.013,,
-7.122,0.001,0.014,,
-6.766,0.001,0.015,,
-6.414,0.001,0.016,,
-6.094,0.001,0.017,,
-5.7,0.001,0.018,,
-5.408,0.001,0.019,,
-5.101,0.001,0.02,,
-4.816,0.001,0.021,,
-4.545,0.001,0.022,,
-4.269,0.001,0.022,,
-4.007,0.001,0.023,,
-3.805,0.002,0.024,,
-3.62,0.002,0.025,,
-3.385,0.002,0.026,,
-3.144,0.002,0.027,,
-2.927,0.002,0.028,,
-2.738,0.002,0.029,,
-2.512,0.002,0.03,,
-2.315,0.002,0.031,,
-2.132,0.002,0.032,,
-1.931,0.003,0.033,,
-1.726,0.003,0.034,,
-1.483,0.003,0.035,,
-1.271,0.003,0.036,,
-1.058,0.003,0.037,,
-0.835,0.003,0.038,,
-0.622,0.004,0.039,,
-0.463,0.004,0.04,,
-0.272,0.004,0.041,,
-0.071,0.004,0.042,,
0.074,0.004,0.043,,
0.242,0.005,0.044,,
0.363,0.005,0.045,,
0.516,0.005,0.046,,
0.665,0.005,0.047,,
0.815,0.005,0.048,,
0.946,0.005,0.049,,
1.069,0.006,0.05,,
1.218,0.006,0.051,,
1.379,0.006,0.052,,
1.488,0.006,0.053,,
1.756,0.007,0.054,,
1.861,0.007,0.055,,
2.06,0.007,0.056,,
2.177,0.007,0.057,,
2.307,0.007,0.058,,
2.43,0.008,0.059,,
2.56,0.008,0.06,,
2.671,0.008,0.061,,
2.793,0.008,0.062,,
2.917,0.009,0.063,,
3.043,0.009,0.064,,
3.186,0.009,0.064,,
3.279,0.009,0.065,,
3.363,0.01,0.066,,
3.509,0.01,0.067,,
3.642,0.01,0.068,,
3.774,0.01,0.069,,
3.89,0.011,0.07,,
