score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,70
,,,N,21238
,,,fft,18
,,,enum,27
,,,cores,40
,,,walltime,34631.57267406583
,,,cputime,68.89366708700001
0,-1.0,-1.0,,
1,-1.011,-1.012,,
2,-1.023,-1.023,,
3,-1.034,-1.034,,
4,-1.045,-1.046,,
5,-1.057,-1.057,,
6,-1.069,-1.069,,
7,-1.08,-1.081,,
8,-1.092,-1.093,,
9,-1.104,-1.105,,
10,-1.116,-1.117,,
11,-1.128,-1.129,,
12,-1.14,-1.141,,
13,-1.153,-1.153,,
14,-1.165,-1.166,,
15,-1.177,-1.178,,
16,-1.19,-1.191,,
17,-1.203,-1.203,,
18,-1.215,-1.216,,
19,-1.228,-1.229,,
20,-1.241,-1.242,,
21,-1.254,-1.255,,
22,-1.267,-1.268,,
23,-1.28,-1.281,,
24,-1.294,-1.294,,
25,-1.307,-1.308,,
26,-1.32,-1.321,,
27,-1.334,-1.335,,
28,-1.348,-1.348,,
29,-1.361,-1.362,,
30,-1.375,-1.376,,
31,-1.389,-1.39,,
32,-1.403,-1.404,,
33,-1.417,-1.418,,
34,-1.432,-1.432,,
35,-1.446,-1.446,,
36,-1.46,-1.461,,
37,-1.475,-1.475,,
38,-1.489,-1.49,,
39,-1.504,-1.505,,
40,-1.519,-1.519,,
41,-1.534,-1.534,,
42,-1.549,-1.549,,
43,-1.564,-1.564,,
44,-1.579,-1.58,,
45,-1.594,-1.595,,
46,-1.61,-1.61,,
47,-1.625,-1.626,,
48,-1.641,-1.641,,
49,-1.656,-1.657,,
50,-1.672,-1.673,,
51,-1.688,-1.689,,
52,-1.704,-1.705,,
53,-1.72,-1.721,,
54,-1.736,-1.737,,
55,-1.753,-1.753,,
56,-1.769,-1.769,,
57,-1.785,-1.786,,
58,-1.802,-1.803,,
59,-1.819,-1.819,,
60,-1.835,-1.836,,
61,-1.852,-1.853,,
62,-1.869,-1.87,,
63,-1.886,-1.887,,
64,-1.904,-1.904,,
65,-1.921,-1.921,,
66,-1.938,-1.939,,
67,-1.956,-1.956,,
68,-1.973,-1.974,,
69,-1.991,-1.991,,
70,-2.009,-2.009,,
71,-2.027,-2.027,,
72,-2.045,-2.045,,
73,-2.063,-2.063,,
74,-2.081,-2.081,,
75,-2.099,-2.1,,
76,-2.118,-2.118,,
77,-2.136,-2.137,,
78,-2.155,-2.155,,
79,-2.174,-2.174,,
80,-2.192,-2.193,,
81,-2.211,-2.212,,
82,-2.23,-2.231,,
83,-2.25,-2.25,,
84,-2.269,-2.269,,
85,-2.288,-2.288,,
86,-2.308,-2.308,,
87,-2.327,-2.328,,
88,-2.347,-2.347,,
89,-2.367,-2.367,,
90,-2.387,-2.387,,
91,-2.407,-2.407,,
92,-2.427,-2.427,,
93,-2.447,-2.447,,
94,-2.467,-2.467,,
95,-2.488,-2.488,,
96,-2.508,-2.508,,
97,-2.529,-2.529,,
98,-2.55,-2.55,,
99,-2.57,-2.571,,
100,-2.591,-2.592,,
101,-2.613,-2.613,,
102,-2.634,-2.634,,
103,-2.655,-2.655,,
104,-2.676,-2.676,,
105,-2.698,-2.698,,
106,-2.72,-2.719,,
107,-2.741,-2.741,,
108,-2.763,-2.763,,
109,-2.785,-2.785,,
