   n, log_2(T), log_2(T)/n, ghf_BDD, ghf_UNIF
  30,   47.300,      1.577,   0.336,    0.335
  31,   44.400,      1.432,   0.371,    0.371
  32,   42.600,      1.331,   0.398,    0.397
  33,   41.300,      1.252,   0.420,    0.420
  34,   40.400,      1.188,   0.439,    0.439
  35,   39.600,      1.131,   0.457,    0.456
  36,   39.100,      1.086,   0.472,    0.471
  37,   38.600,      1.043,   0.486,    0.485
  38,   38.200,      1.005,   0.498,    0.498
  39,   37.900,      0.972,   0.510,    0.510
  40,   37.700,      0.943,   0.521,    0.520
  41,   37.500,      0.915,   0.531,    0.530
  42,   37.400,      0.890,   0.540,    0.539
  43,   37.300,      0.867,   0.548,    0.548
  44,   37.200,      0.845,   0.557,    0.557
  45,   37.200,      0.827,   0.564,    0.564
  46,   37.100,      0.807,   0.572,    0.572
  47,   37.100,      0.789,   0.579,    0.579
  48,   37.100,      0.773,   0.585,    0.585
  49,   37.200,      0.759,   0.591,    0.591
  50,   37.200,      0.744,   0.597,    0.597
  51,   37.200,      0.729,   0.603,    0.603
  52,   37.300,      0.717,   0.609,    0.608
  53,   37.400,      0.706,   0.614,    0.613
  54,   37.400,      0.693,   0.619,    0.619
  55,   37.500,      0.682,   0.624,    0.623
  56,   37.600,      0.671,   0.628,    0.628
  57,   37.700,      0.661,   0.632,    0.632
  58,   37.800,      0.652,   0.637,    0.637
  59,   37.900,      0.642,   0.641,    0.641
  60,   38.000,      0.633,   0.645,    0.645
  61,   38.200,      0.626,   0.648,    0.648
  62,   38.300,      0.618,   0.652,    0.652
  63,   38.400,      0.610,   0.656,    0.655
  64,   38.500,      0.602,   0.659,    0.659
  65,   38.700,      0.595,   0.662,    0.662
  66,   38.800,      0.588,   0.666,    0.665
  67,   38.900,      0.581,   0.669,    0.669
  68,   39.100,      0.575,   0.672,    0.671
  69,   39.200,      0.568,   0.675,    0.674
  70,   39.400,      0.563,   0.677,    0.677
  71,   39.500,      0.556,   0.680,    0.680
  72,   39.700,      0.551,   0.683,    0.682
  73,   39.800,      0.545,   0.685,    0.685
  74,   40.000,      0.541,   0.688,    0.688
  75,   40.100,      0.535,   0.690,    0.690
  76,   40.300,      0.530,   0.693,    0.692
  77,   40.400,      0.525,   0.695,    0.695
  78,   40.600,      0.521,   0.697,    0.697
  79,   40.800,      0.516,   0.700,    0.699
  80,   40.900,      0.511,   0.702,    0.702
  81,   41.100,      0.507,   0.704,    0.703
  82,   41.200,      0.502,   0.706,    0.706
  83,   41.400,      0.499,   0.708,    0.708
